Section,#,Cas de test,Actions,Resultat attendu,Statut,Commentaires,
AUTHENTIFICATION - Inscription,1.1.2001,Acces page inscription,Acceder a /register,La page d'inscription s'affiche,OK,,
AUTHENTIFICATION - Inscription,1.1.2002,Inscription valide,"Remplir tous les champs (nom, email, password, confirmation) et soumettre","Compte cree, redirection vers dashboard",KO,"Je reçois un message : Route [verification.verify] not defined. à l'envoi du formulaire d'inscription, mais l'utilisateur est présent dans la db",
AUTHENTIFICATION - Inscription,1.1.2003,Email deja utilise,Utiliser un email existant,Message d'erreur Email deja utilise,OK,,
AUTHENTIFICATION - Inscription,1.1.2004,Mot de passe trop court,Saisir un mot de passe < 8 caracteres,Message d'erreur de validation,OK,,
AUTHENTIFICATION - Inscription,1.1.2005,Mots de passe non concordants,Saisir des mots de passe differents,Message d'erreur Les mots de passe ne correspondent pas,OK,,
AUTHENTIFICATION - Inscription,1.1.2006,Email invalide,Saisir un email mal formate,Message d'erreur Email invalide,OK,,
AUTHENTIFICATION - Inscription,1.1.2007,Champs obligatoires vides,Soumettre le formulaire vide,Messages d'erreur sur champs requis,OK,,
AUTHENTIFICATION - Connexion,1.2.2001,Acces page connexion,Acceder a /login,La page de connexion s'affiche,OK,,
AUTHENTIFICATION - Connexion,1.2.2002,Connexion valide,Saisir email/password corrects,"Connexion reussie, redirection vers dashboard",OK,,
AUTHENTIFICATION - Connexion,1.2.2003,Email incorrect,Saisir un email inexistant,Message d'erreur Identifiants invalides,OK,Message : These credentials do not match our records.,
AUTHENTIFICATION - Connexion,1.2.2004,Mot de passe incorrect,Saisir un mauvais mot de passe,Message d'erreur Identifiants invalides,OK,These credentials do not match our records.,
AUTHENTIFICATION - Connexion,1.2.2005,Option Se souvenir de moi,Cocher l'option et se connecter,Session persistante apres fermeture navigateur,,à tester sans navigateur privé,
AUTHENTIFICATION - Connexion,1.2.2006,Lien vers inscription,Cliquer sur Pas encore de compte ?,Redirection vers page inscription,OK,,
AUTHENTIFICATION - Connexion,1.2.2007,Lien mot de passe oublie,Cliquer sur Mot de passe oublie,Redirection vers page de recuperation,OK,,
AUTHENTIFICATION - Deconnexion,1.3.2001,Deconnexion,Cliquer sur Deconnexion dans le sidebar,"Session terminee, redirection vers login",OK,,
AUTHENTIFICATION - Deconnexion,1.3.2002,Acces protege apres deconnexion,Tenter d'acceder a /dashboard apres deconnexion,Redirection vers login,OK,,
AUTHENTIFICATION - Mot de passe oublie,1.4.2001,Demande reinitialisation,Saisir email valide et soumettre,"Message de confirmation, email envoye",KO,Route [password.reset] not defined.,
AUTHENTIFICATION - Mot de passe oublie,1.4.2002,Email inexistant,Saisir email inexistant,Message d'erreur ou message generique,OK,We can't find a user with that email address.,
AUTHENTIFICATION - Mot de passe oublie,1.4.2003,Reinitialisation mot de passe,"Cliquer lien email, saisir nouveau mot de passe","Mot de passe modifie, redirection login",,à TESTER avec un SMTP configuré,
AUTHENTIFICATION - OTP,1.5.2001,Envoi OTP,Demander envoi OTP,Code OTP envoye par email/SMS,,,
AUTHENTIFICATION - OTP,1.5.2002,Verification OTP,Saisir code OTP correct,Verification reussie,,,
AUTHENTIFICATION - OTP,1.5.2003,Code OTP incorrect,Saisir code OTP invalide,Message d'erreur Code invalide,,,
AUTHENTIFICATION - OTP,1.5.2004,Code OTP expire,Utiliser code apres expiration,Message d'erreur Code expire,,,
AUTHENTIFICATION - OTP,1.5.2005,Reenvoyer OTP,Cliquer Reenvoyer,Nouveau code OTP envoye,,,
AUTHENTIFICATION - OTP,1.5.2006,Reinitialisation mot de passe par OTP,Utiliser OTP pour reinitialiser mot de passe,Mot de passe reinitialise,,,
AUTHENTIFICATION - Verification email,1.6.2001,Envoi email verification,Demander renvoi email verification,Email de verification envoye,,,
AUTHENTIFICATION - Verification email,1.6.2002,Verification email,Cliquer lien verification email,Email verifie,,,
AUTHENTIFICATION - Verification email,1.6.2003,Lien verification expire,Utiliser lien apres expiration,Message d'erreur Lien expire,,,
NAVIGATION - Sidebar,2.1.2001,Affichage sidebar,Se connecter,Sidebar visible avec tous les menus,OK,,
NAVIGATION - Sidebar,2.1.2002,Logo cliquable,Cliquer sur le logo,Redirection vers dashboard,OK,,
NAVIGATION - Sidebar,2.1.2003,Menu actif,Naviguer entre les pages,Menu actif surligne,OK,,
NAVIGATION - Sidebar,2.1.2004,Section Administration (admin),Se connecter en tant qu'admin,Section Administration visible,OK,,
NAVIGATION - Sidebar,2.1.2005,Section Administration (user),Se connecter en tant qu'utilisateur normal,Section Administration non visible,OK,,
NAVIGATION - Sidebar,2.1.2006,Traductions menus,Verifier tous les libelles,Tous les menus traduits correctement,OK,,
NAVIGATION - Navigation generale,2.2.2001,Navigation Tableau de bord,Cliquer sur Tableau de bord,Page dashboard affichee,OK,,
NAVIGATION - Navigation generale,2.2.2002,Navigation Evenements,Cliquer sur Mes evenements,Liste des evenements affichee,OK,,
NAVIGATION - Navigation generale,2.2.2003,Navigation Collaborations,Cliquer sur Collaborations,Page collaborations affichee,OK,,
NAVIGATION - Navigation generale,2.2.2004,Navigation Invitations,Cliquer sur Invitations,Page invitations affichee,OK,,
NAVIGATION - Navigation generale,2.2.2005,Navigation Abonnements,Cliquer sur Abonnements,Page abonnements affichee,OK,,
NAVIGATION - Navigation generale,2.2.2006,Navigation Notifications,Cliquer sur Notifications,Page notifications affichee,OK,,
NAVIGATION - Navigation generale,2.2.2007,Navigation Profil,Cliquer sur Mon profil,Page profil affichee,OK,,
NAVIGATION - Navigation generale,2.2.2008,Navigation Parametres,Cliquer sur Parametres,Page parametres affichee,OK,,
NAVIGATION - Navigation generale,2.2.2009,Navigation Plans,Cliquer sur Plans,Page plans affichee,,,
DASHBOARD,3.1,Affichage dashboard,Acceder a /dashboard,Page dashboard avec statistiques,OK,,
DASHBOARD,3.2,Statistiques evenements,Verifier le compteur evenements,Nombre correct d'evenements,KO,Je ne comprend pas le principe de event actif,
DASHBOARD,3.3,Statistiques invites,Verifier le compteur invites,Nombre correct d'invites confirmes,OK,Je ne comprend pas la pertinence d'avoir un nombre d'invité de tous les invités de tous les events,
DASHBOARD,3.4,Statistiques taches,Verifier le compteur taches,Nombre correct de taches en attente,OK,,
DASHBOARD,3.5,Statistiques budget,Verifier le total budget,Montant correct,KO,Le budget total est à 0 FCFA même quand il y a des event avec des budget déclaré,
DASHBOARD,3.6,Evenements a venir,Verifier la liste,Evenements futurs affiches,KO,Les event passé s'affichent,
DASHBOARD,3.7,Taches urgentes,Verifier la liste,Taches prioritaires affichees,OK,mais il me semble que je ne peux pas cochez ni changer d'état à d'une tâche,
DASHBOARD,3.8,Activite recente,Verifier la liste,Dernieres activites affichees,KO,La liste des activités n'est pas présente dans le dashboard user,
DASHBOARD,3.9,Recherche globale,Utiliser la barre de recherche,Resultats de recherche affiches,,,
DASHBOARD,3.10,Graphiques statistiques,Verifier les graphiques,Graphiques affiches correctement,,,
EVENEMENTS - Liste,4.1.2001,Affichage liste,Acceder a /events,Liste des evenements affichee,OK,,
EVENEMENTS - Liste,4.1.2002,Liste vide,Utilisateur sans evenement,Message Aucun evenement + bouton creer,OK,,
EVENEMENTS - Liste,4.1.2003,Bouton creer evenement,Cliquer sur Creer un evenement,Formulaire de creation affiche,OK,,
EVENEMENTS - Liste,4.1.2004,Affichage cartes evenements,Avoir des evenements,"Cartes avec titre, date, type, statut",OK,,
EVENEMENTS - Liste,4.1.2005,Clic sur evenement,Cliquer sur une carte evenement,Redirection vers details evenement,OK,,
EVENEMENTS - Liste,4.1.2006,Filtrage par type,Filtrer par type evenement,Seuls evenements du type affiches,,,
EVENEMENTS - Liste,4.1.2007,Filtrage par statut,Filtrer par statut,Seuls evenements du statut affiches,,,
EVENEMENTS - Liste,4.1.2008,Recherche evenement,Rechercher par titre,Resultats filtres,,,
EVENEMENTS - Liste,4.1.2009,Evenements a venir,Filter evenements futurs,Seuls evenements futurs affiches,,,
EVENEMENTS - Creation,4.2.2001,Acces formulaire,Cliquer Creer un evenement,Formulaire avec tous les champs,OK,,
EVENEMENTS - Creation,4.2.2002,Champs obligatoires,Verifier les champs marques *,"Titre, Type, Date sont obligatoires",OK,,
EVENEMENTS - Creation,4.2.2003,Selection type,Ouvrir le select Type d'evenement,"6 types disponibles (Mariage, Anniversaire, etc.)",OK,,
EVENEMENTS - Creation,4.2.2004,Selection date,Cliquer sur le champ date,Calendrier s'ouvre,OK,,
EVENEMENTS - Creation,4.2.2005,Champ heure,Saisir une heure,Format HH:MM accepte,OK,,
EVENEMENTS - Creation,4.2.2006,Champ lieu,Saisir un lieu,Texte libre accepte,OK,,
EVENEMENTS - Creation,4.2.2007,Champ description,Saisir une description,Texte multiligne accepte,OK,,
EVENEMENTS - Creation,4.2.2008,Champ nombre invites,Saisir un nombre,Nombre positif accepte,OK,la lettre e peut être écrite dans ce champs c'est pas normal et aussi le caractère point,
EVENEMENTS - Creation,4.2.2009,Champ budget,Saisir un montant,Montant en FCFA accepte,OK,,
EVENEMENTS - Creation,4.2.2010,Champ theme,Saisir un theme,Texte libre accepte,OK,,
EVENEMENTS - Creation,4.2.2011,Photo de couverture,Uploader une photo de couverture,Photo de couverture enregistree,,,
EVENEMENTS - Creation,4.2.2012,Selection template,Selectionner un template,Template applique a l'evenement,,,
EVENEMENTS - Creation,4.2.2013,Creation valide,Remplir champs obligatoires et soumettre,"Evenement cree, redirection vers details",OK,,
EVENEMENTS - Creation,4.2.2014,Validation titre vide,Soumettre sans titre,Message erreur Le titre est requis,OK,,
EVENEMENTS - Creation,4.2.2015,Validation date vide,Soumettre sans date,Message erreur La date est requise,OK,,
EVENEMENTS - Creation,4.2.2016,Verification abonnement,Soumettre sans abonnement actif,Message erreur Abonnement requis,,,
EVENEMENTS - Details,4.3.2001,Affichage details,Acceder a /events/:id,Page details avec toutes les infos,OK,,
EVENEMENTS - Details,4.3.2002,Onglets navigation,Verifier les onglets,"Onglets Invites, Taches, Budget, Photos visibles",OK,,
EVENEMENTS - Details,4.3.2003,Bouton modifier,Cliquer sur Modifier,Formulaire edition affiche,OK,,
EVENEMENTS - Details,4.3.2004,Bouton supprimer,Cliquer sur Supprimer,Confirmation demandee,OK,,
EVENEMENTS - Details,4.3.2005,Permissions evenement,Verifier permissions,Permissions affichees correctement,,,
EVENEMENTS - Details,4.3.2006,Dupliquer evenement,Cliquer Dupliquer,Evenement duplique,,,
EVENEMENTS - Modification,4.4.2001,Pre-remplissage,Ouvrir formulaire modification,Champs pre-remplis avec valeurs existantes,OK,,
EVENEMENTS - Modification,4.4.2002,Modification titre,Modifier le titre et sauvegarder,Titre mis a jour,OK,,
